make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h
DS,DS DS7 Crossback,fuel engine,2017,2017,,,"5-doors, hatchback",,,4573 mm,1906 mm,1625 mm,,,,1510 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,n.b.,,133,,,,,front,n.b.,,,8 speed automatic,n.b.,,115 g/km,,"9,4 s",215 km/h,"5,0 l/100km",115 g/km,,"6,2 l/100km",hydroactive,,,hydroactive,,,,5-doors,,,,,
DS,DS DS7 Crossback,fuel engine,2017,2017,,,"5-doors, hatchback",,,4573 mm,1906 mm,1625 mm,,,,1510 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,n.b.,,133,,,,,front,n.b.,,,8 speed automatic,n.b.,,128 g/km,,"9,4 s",215 km/h,"5,6 l/100km",128 g/km,,"4,9 l/100km",hydroactive,,,hydroactive,,,,5-doors,,,,,
Ferrari,Ferrari F8 Spider,fuel engine,2020,2020,,,"2-doors, convertible",,,4611 mm,1979 mm,1206 mm,,,,1400 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"86,5 x 83,0 mm",,529,,,,,rear,"86,5 x 83,0 mm",,,7 speed automatic with double clutch,n.b.,,- g/km,,"2,9 s",340 km/h,- l/100km,- g/km,,"13,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Fiat,Fiat 500L Wagon,fuel engine,2017,2017,,,"5-doors, mpv",,,4375 mm,1784 mm,1667 mm,,,,1265 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,5 x 86,0 mm",,77,,,,,front,"80,5 x 86,0 mm",,,6 speed manual transmission,n.b.,,111 g/km,,"12,5 s",180 km/h,"5,7 l/100km",111 g/km,,"4,8 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Fiat,Fiat 500L Wagon,fuel engine,2017,2017,,,"5-doors, mpv",,,4375 mm,1784 mm,1667 mm,,,,1265 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,5 x 86,0 mm",,77,,,,,front,"80,5 x 86,0 mm",,,6 speed manual transmission,n.b.,,111 g/km,,"12,5 s",180 km/h,"5,7 l/100km",111 g/km,,"4,8 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Fiat,Fiat 500L Wagon,fuel engine,2017,2017,,,"5-doors, mpv",,,4375 mm,1784 mm,1667 mm,,,,1295 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"72,0 x 84,0 mm",,88,,,,,front,"72,0 x 84,0 mm",,,6 speed manual transmission,n.b.,,155 g/km,,"10,3 s",189 km/h,"8,8 l/100km",155 g/km,,"6,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Fiat,Fiat 500L Wagon,fuel engine,2017,2017,,,"5-doors, mpv",,,4375 mm,1784 mm,1667 mm,,,,1395 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,5 x 86,0 mm",,59,,,,,front,"80,5 x 86,0 mm",,,6 speed manual transmission,n.b.,,105 g/km,,"15,7 s",163 km/h,"4,7 l/100km",105 g/km,,"3,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Fiat,Fiat 500L Wagon,fuel engine,2017,2017,,,"5-doors, mpv",,,4375 mm,1784 mm,1667 mm,,,,1395 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,5 x 86,0 mm",,59,,,,,front,"80,5 x 86,0 mm",,,6 speed manual transmission,n.b.,,105 g/km,,"15,7 s",163 km/h,"4,7 l/100km",105 g/km,,"3,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Fiat,Fiat 500L Wagon,fuel engine,2017,2017,,,"5-doors, mpv",,,4375 mm,1784 mm,1667 mm,,,,1280 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"69,6 x 82,0 mm",,70,,,,,front,"69,6 x 82,0 mm",,,5 speed manual transmission,n.b.,,106 g/km,,"14,4 s",171 km/h,"4,5 l/100km",106 g/km,,"3,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Fisker,Fisker Karma,plugin hybrid,2011,2011,,,"4-doors, sedan",,,4998 mm,1986 mm,1330 mm,,,,2405 kg,,,,,,,,,,,,,,,,,,,,plugin hybrid,4,,,,,"86,0 x 86,0 mm",,300,,,,,rear,"86,0 x 86,0 mm",,,traploze automatic,n.b.,,51 g/km,,"5,9 s",200 km/h,- l/100km,51 g/km,,"2,1 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Fisker,Fisker Karma,plugin hybrid,2011,2011,,,"4-doors, sedan",,,4998 mm,1986 mm,1330 mm,,,,2405 kg,,,,,,,,,,,,,,,,,,,,plugin hybrid,4,,,,,"86,0 x 86,0 mm",,300,,,,,rear,"86,0 x 86,0 mm",,,traploze automatic,n.b.,,51 g/km,,"5,9 s",200 km/h,- l/100km,51 g/km,,"2,1 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Fisker,Fisker Karma,plugin hybrid,2011,2011,,,"4-doors, sedan",,,4998 mm,1986 mm,1330 mm,,,,2405 kg,,,,,,,,,,,,,,,,,,,,plugin hybrid,4,,,,,"86,0 x 86,0 mm",,300,,,,,rear,"86,0 x 86,0 mm",,,traploze automatic,n.b.,,51 g/km,,"5,9 s",200 km/h,- l/100km,51 g/km,,"2,1 l/100km",coil springs,,,coil springs,,,,4-doors,,,,,
Ford,Ford Mustang Fastback,fuel engine,2015,2015,,,"2-doors, coupé",,,4784 mm,1916 mm,1381 mm,,,,1555 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"87,55 x 94,0 mm",,233,,,,,rear,"87,55 x 94,0 mm",,,6 speed manual transmission,n.b.,,179 g/km,,- s,234 km/h,"10,1 l/100km",179 g/km,,"8,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Ford,Ford Mustang Fastback,fuel engine,2015,2015,,,"2-doors, coupé",,,4784 mm,1916 mm,1381 mm,,,,1553 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"87,55 x 94,0 mm",,233,,,,,rear,"87,55 x 94,0 mm",,,6 speed automatic,n.b.,,228 g/km,,- s,234 km/h,"14,5 l/100km",228 g/km,,"9,9 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Ford,Ford Mustang Fastback,fuel engine,2015,2015,,,"2-doors, coupé",,,4784 mm,1916 mm,1381 mm,,,,1632 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"92,2 x 92,7 mm",,310,,,,,rear,"92,2 x 92,7 mm",,,6 speed automatic,n.b.,,281 g/km,,- s,250 km/h,"18,6 l/100km",281 g/km,,"12,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Ford,Ford Mustang Fastback,fuel engine,2015,2015,,,"2-doors, coupé",,,4784 mm,1916 mm,1381 mm,,,,1620 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"92,2 x 92,7 mm",,310,,,,,rear,"92,2 x 92,7 mm",,,6 speed manual transmission,n.b.,,299 g/km,,- s,250 km/h,"20,0 l/100km",299 g/km,,"13,5 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
FSO,FSO Classic,fuel engine,1988,1988,,,"4-doors, sedan",,,4226 mm,1630 mm,1440 mm,,,,1000 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"77,0 x 79,5 mm",,60,,,,,rear,"77,0 x 79,5 mm",,,5 speed manual transmission,n.b.,,- g/km,,"20,0 s",145 km/h,- l/100km,- g/km,,"8,4 l/100km",leaf springs,,,coil springs,,,,4-doors,,,,,
Galloper,Galloper Galloper,fuel engine,1998,1998,,,"5-doors, suv/crossover",,,4620 mm,1770 mm,1890 mm,,,,1720 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"91,1 x 95,0 mm",,65,,,,,front,"91,1 x 95,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,"25,9 s",136 km/h,"14,5 l/100km",- g/km,,"11,6 l/100km",coil springs,,,torsion bar,,,,5-doors,,,,,
Galloper,Galloper Galloper,fuel engine,1998,1998,,,"5-doors, suv/crossover",,,4620 mm,1770 mm,1890 mm,,,,1720 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"91,1 x 95,0 mm",,73,,,,,front,"91,1 x 95,0 mm",,,5 speed manual transmission,n.b.,,307 g/km,,"21,7 s",140 km/h,"14,5 l/100km",307 g/km,,"11,6 l/100km",coil springs,,,torsion bar,,,,5-doors,,,,,
Honda,Honda CR-Z,hybrid,2010,2010,,,"3-doors, coupé",,,4080 mm,1740 mm,1395 mm,,,,1119 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,"73,0 x 89,4 mm",,91,,,,,front,"73,0 x 89,4 mm",,,6 speed manual transmission,n.b.,,117 g/km,,"9,9 s",200 km/h,"6,1 l/100km",117 g/km,,"5,0 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
