make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
jaguar xk,jaguar,xk,xk150,1957,1961,cabriolet,3.8 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,cabriolet,3.8 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,coupe,3.4 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1302,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,coupe,3.4 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1302,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,coupe,3.4 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1302,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,coupe,3.8 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1302,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,coupe,3.8 mt,,,"2, 3",4496,1638,1397,2591,,,,,,,,1302,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,roadster,3.4 mt,,,2,4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,roadster,3.4 mt,,,2,4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,roadster,3.4 mt,,,2,4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,roadster,3.8 mt,,,2,4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,xk150,1957,1961,roadster,3.8 mt,,,2,4496,1638,1397,2591,,,,,,,,1314,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xkr,jaguar,xkr,1 generation [redesign],2004,2006,cabriolet,4.2 at,,,4,4760,1829,1306,2588,,,1815,"245/45/r18,",,,,1498,1504,,2180,,,,,307,541,multi-point fuel injection,,v-type,8,"9,1",gasoline,4,compressor,86,90,"front, longitudinal",,3500,291,,4196,395,3500,rear wheel drive,,6,,automatic,12.5,,,75,5.6,km/h,18.1,,95,9.2,"independent, spring",ventilated disc,ventilated disc,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xkr,jaguar,xkr,1 generation [redesign],2004,2006,coupe,4.2 at,,,4,4776,2015,1296,2588,,,1735,"245/45/r18, 255/45/r18, 255/35/r20, 285/30/r20",,,,1498,1504,,2105,,,,,327,541,multi-point fuel injection,,v-type,8,"9,1",gasoline,4,compressor,86,90,"front, longitudinal",,3500,291,,4196,395,3500,rear wheel drive,,6,,automatic,12.4,,,75,5.4,km/h,18,,95,9.1,"independent, spring",ventilated disc,ventilated disc,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xkr,jaguar,xkr,1 generation [redesign],2004,2006,coupe,4.2 mt,,,4,4776,2015,1296,2588,,,1715,245/45/r18,,,,1498,1504,145,2010,,,,,327,541,multi-point fuel injection,,v-type,8,"9,1",gasoline,4,compressor,86,90,,,5500,291,,4196,395,5500,rear wheel drive,,6,,manual,12.5,,euro iv,75,5.4,km/h,18,,95,9.4,"independent, spring",ventilated disc,ventilated disc,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
