make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
bentley brooklands,bentley,brooklands,1 generation,1994,1998,sedan,6.75 at turbo,sedan,,5,5295,1914,1485,3061,1549,1549,2470,,,,,,,,2930,,410,,,410,503,injector,,v-type,8,,gasoline,2,turbo,104,99,,,1900,,,6750,304,4000,rear wheel drive,,5,12.5,automatic,17.4,,,108,8.1,225,,,95,,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,7222,602,387,8211
bentley brooklands,bentley,brooklands,2 generation,2008,2011,coupe,6.75 at,coupe,,4,5411,2078,1473,3116,1610,1608,,,,,,,,,,,,,,,1050,injector,,v-type,8,,gasoline,4,,,,,,3250,,,6761,530,4000,all wheel drive (awd),,6,,automatic,19.5,330|680,,96,5,296,28.8,,98,14.1,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,7222,602,387,8211
bentley brooklands,bentley,brooklands,2 generation,2008,2011,coupe,6.75i at biturbo,coupe,,4,5411,1932,1473,3116,1610,1580,2655,,,,,,,,,,,,,,1050,multi-point fuel injection,,v-type,8,,gasoline,4,biturbo,,,,,3250,,,6761,537,4100,rear wheel drive,,6,,automatic,19.5,330|680,euro iv,96,5.3,296,28.8,,98,14.1,strut,disc,ventilated disc,double wishbone,,,,,,,,,,7222,602,387,8211
bentley continental,bentley,continental,1 generation,1984,1995,cabriolet,6.75 at,cabriolet,,4,5196,1835,1518,3061,1549,1549,2430,,140,,,,,,2760,,380,,,380,450,multi-point fuel injection,,v-type,8,,gasoline,2,,104,99,,,1600,,,6750,240,4300,rear wheel drive,,4,10.7,automatic,20.5,430|690,,108,11.8,205,25.4,,95,15.6,helical springs,disc,disc,double wishbone,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,cabriolet,6.8 at,,,4,5196,1835,1518,3061,,,2430,,,,,,,,2760,,,,,380,450,distributed injection (multipoint),,v-type,8,9,petrol,2,none,104,99,,,1600,177,,6750,240,4300,rear wheel drive,,3,,automatic,25.4,,,108,11.8,205,,,95,15.6,"independent, spring",,disc ventilated,"independent, spring",,f,great britain,2,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,flying spur sedan,"4.0 l, 507 hp, gasoline, automatic transmission, all-wheel drive (4wd)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,flying spur sedan,"4.0 l, 528 hp, gasoline, automatic transmission, all-wheel drive (4wd)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,flying spur sedan,"6.0 l, 625 hp, gasoline, automatic transmission, all-wheel drive (4wd)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,6.75 at mulliner,coupe,,4,5350,1880,1462,3061,1549,1581,2450,,140,,,,,,2850,,350,,,350,875,multi-point fuel injection,,v-type,8,,gasoline,2,turbo,104,99,,,2100,,,6750,426,4000,rear wheel drive,,4,,automatic,,560|920,,108,5.9,270,19.2,,95,11.8,helical springs,disc,ventilated disc,double wishbone,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,6.8i at,coupe,,4,5342,1872,1462,3061,1549,1549,2450,,140,,,,,,2730,,350,,,350,750,multi-point fuel injection,,v-type,8,,gasoline,2,turbo,104,99,,,2000,,,6750,389,4000,rear wheel drive,,4,,automatic,,420|830,,108,6,249,25.7,,98,13,helical springs,disc,ventilated disc,double wishbone,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,r 6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,r 6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,r 6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,r 6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,r coupe 2-doors,t 6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,t coupe 2-doors,6.75 at,coupe,,4,5240,1920,1450,2960,1550,1580,2610,,140,,,,,,2980,,347,,,347,750,multi-point fuel injection,,v-type,8,,gasoline,2,turbo,104,99,,,2000,,,6750,400,4000,rear wheel drive,,4,,automatic,,570,,108,6.1,246,18.9,,95,,helical springs,disc,ventilated disc,double wishbone,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,t coupe 2-doors,6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,t coupe 2-doors,6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,t coupe 2-doors,6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,t coupe 2-doors,6.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,2 generation,1991,2002,t coupe 2-doors,6.8 at,coupe,,4,5222,1872,1462,2961,1549,1581,2450,,140,,,,,,2850,,350,,,350,875,multi-point fuel injection,,v-type,4,,gasoline,2,turbo,104,99,,,2200,,,6750,426,4000,rear wheel drive,,4,,automatic,18.7,380|820,,108,6,270,28.1,,92,13.2,helical springs,disc,ventilated disc,double wishbone,,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,3 generation [redesign],2008,2013,flying spur sedan,6.0 at,sedan,,5,5290,1976,1398,2745,1623,1607,2525,,,,,,,,2940,1545/1395,475,,,475,650,injector,,w-type,12,,gasoline,4,turbo,,,,,6100,,present,5998,560,6100,all wheel drive (awd),,6,,automatic,17.1,340|760,euro iv,90,5.2,312,26.2,,95,11.9,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental,bentley,continental,3 generation [redesign],2008,2013,flying spur sedan,6.0 speed at,sedan,,5,5290,1976,1388,2745,1623,1607,2525,,,,,,,,2940,1545/1395,475,,,475,750,multi-point fuel injection,,w-type,12,,gasoline,4,biturbo,,,,,5600,,present,5998,610,6000,all wheel drive (awd),,6,,automatic,17,340|770,euro iv,90,4.8,322,26.2,,95,11.7,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,54353,6195,2707,63255
bentley continental flying spur,bentley,continental flying spur,2 generation [redesign],2008,2013,sedan,6.0 at 4wd,,,"4, 5",5290,1976,1475,3065,,,2475,275/40/r19,,,,1607,1623,,2980,,,,,475,650,distributed injection (multipoint),,w-type,12,"9,5",petrol,4,turbine,84,90,,,1650,412,,5998,560,6100,full,,6,,automatic,,,,90,5.2,312,26.4,,98,12.7,"independent, spring",disc ventilated,disc ventilated,"independent, pneumatic element",,f,great britain,4,,,,,,54353,6195,2707,63255
bentley continental flying spur,bentley,continental flying spur,2 generation [redesign],2008,2013,sedan,6.0 at 4wd,,,"4, 5",5290,1976,1475,3065,,,2475,275/40/r19,,,,1607,1623,,2980,,,,,475,750,distributed injection (multipoint),,w-type,12,9,petrol,4,turbine,84,90,,,1750,449,,5998,610,6000,full,,6,,automatic,,,,90,4.8,322,26.4,,98,12.7,"independent, spring",disc ventilated,disc ventilated,"independent, pneumatic element",,f,great britain,4,,,,,,54353,6195,2707,63255
