make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback,2.0 amt,,,5,4569,1769,1462,2578,,,1415,195/65/r15  205/55/r16,,,,1514,1541,140,2015,,1420,,,560,320,,,inline,4,16,diesel,4,turbine,81,95,"front, cross-section",,1750,103,,1968,140,4200,front wheel drive,,6,,robot,5.3,,euro 5,55,9.6,209,6.7,138,diesel,4.5,"independent, spring",disc,disc ventilated,"independent, spring",,c,czech,5,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback,2.0 mt,,,5,4569,1769,1462,2578,,,1395,195/65/r15  205/55/r16,,,,1514,1541,140,1995,,1420,,,560,280,,,inline,4,16,diesel,4,turbine,81,95,"front, cross-section",,1750,81,,1968,110,4200,front wheel drive,,6,,manual,4.8,,euro 5,55,11,195,6.1,126,diesel,4,"independent, spring",disc,disc ventilated,"independent, spring",,c,czech,5,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback,2.0 mt,,,5,4569,1769,1462,2578,,,1395,195/65/r15  205/55/r16,,,,1514,1541,140,1995,,1420,,,560,320,,,inline,4,16,diesel,4,turbine,81,95,"front, cross-section",,1750,103,,1968,140,4200,front wheel drive,,6,,manual,4.8,,euro 5,55,9.5,211,6.1,126,diesel,4,"independent, spring",disc,disc ventilated,"independent, spring",,c,czech,5,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.2 tsi dsg,liftback,,5,4569,1769,1462,2578,1541,1514,1290,,140,3290,600,,,,1890,,1350,,,560,175,direct injection,,inline,4,,gasoline,2,turbo,71,75,,,4100,,present,1197,105,5000,front wheel drive,,7,10.85,robot,5.9,"790|1,060",euro v,55,10.8,192,7,,95,5.2,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.2 tsi mt,liftback,,5,4569,1769,1462,2578,1541,1514,1265,,140,3265,600,,,,1865,,1350,,,560,175,direct injection,,inline,4,,gasoline,2,turbo,71,75,,,4100,,present,1197,105,5000,front wheel drive,,6,10.85,manual,5.7,"770|1,120",euro v,55,10.8,192,7.1,,95,4.9,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 euro v mt,liftback,,5,4569,1769,1462,2578,1541,1514,1255,,140,2850,495,,,,1750,,1350,,,560,132,multi-point fuel injection,,inline,4,,gasoline,4,,76,75,,,3800,,present,1390,80,5000,front wheel drive,,5,10.85,manual,6.4,"650|1,080",euro v,55,14.3,174,8.5,,95,5.1,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 mpi mt,liftback,,5,4569,1769,1462,2578,1541,1514,1255,,162,,600,,,,1855,,1350,,,560,132,multi-point fuel injection,,inline,4,,gasoline,4,,76,75,,,3800,,,1390,80,5000,front wheel drive,,5,10.85,manual,7,570|980,euro iv,55,14.2,173,9.6,,95,5.6,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts, on triangular wishbones",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 tsi dsg,liftback,,5,4569,1769,1462,2578,1541,1514,1330,,162,,600,,,,1930,,1350,,,560,200,direct injection,,inline,4,,gasoline,4,turbo,,,,,1500,,present,1390,122,5000,front wheel drive,,7,10.2,robot,6.3,"690|1,040",euro v,55,9.7,202,8,,95,5.3,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 tsi dsg,liftback,,5,4569,1769,1462,2578,1541,1514,1360,,140,,,,,,,,1350,,,560,220,direct injection,,inline,4,,gasoline,4,turbo,76,75,,,3500,,present,1390,130,5000,front wheel drive,,7,10.85,robot,6.4,,euro v,55,10,200,,,95,,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 tsi greentech mt,liftback,,5,4569,1769,1462,2578,1541,1514,1325,,140,3425,600,,,,1925,,1350,,,560,200,direct injection,,inline,4,,gasoline,4,turbo,76,75,,,4000,,present,1390,122,5000,front wheel drive,,6,10.85,manual,5.8,"760|1,120",euro v,55,9.8,205,7.2,,95,4.9,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 tsi mt,liftback,,5,4569,1769,1462,2578,1541,1514,1310,,162,,600,,,,1910,,1350,,,560,200,direct injection,,inline,4,,gasoline,4,turbo,,,,,1500,,present,1390,122,5000,front wheel drive,,6,10.2,manual,6.3,"650|1,100",euro v,55,9.7,203,8.5,,95,5,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.4 tsi mt,liftback,,5,4569,1769,1462,2578,1541,1514,1360,,140,,,,,,,,1350,,,560,220,direct injection,,inline,4,,gasoline,4,turbo,76,75,,,3500,,present,1390,130,5000,front wheel drive,,5,10.85,manual,6.5,,euro v,55,10,200,,,95,,"multi wishbone, stabilizer bar",ventilated disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.6 euro v mt,liftback,,5,4569,1769,1462,2578,1541,1514,1280,,140,3280,600,,,,1880,,1350,,,560,148,multi-point fuel injection,,inline,4,,gasoline,2,,81,77,,,3800,,present,1595,102,5600,front wheel drive,,5,10.85,manual,7.1,"570|1,000",euro v,55,12.3,190,9.6,,95,5.5,"multi wishbone, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, wishbone, dampers, stabilizer bar",,,,,,,,,,886632,203617,48021,1138270
skoda octavia,skoda,octavia,2 generation [redesign],2008,2013,liftback 5-doors,1.6 mpi at,liftback,,5,4569,1769,1462,2578,1541,1514,1315,,162,,600,,,,1915,,560,,,560,148,multi-point fuel injection,,inline,4,,gasoline,4,,81,77,,,3800,,,1595,102,5600,front wheel drive,,6,10.85,automatic,7.9,490|900,euro iv,55,14.1,184,11.2,,95,6.1,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts, on triangular wishbones",,,,,,,,,,886632,203617,48021,1138270
